heater_id,elapsed_seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TS1,TS2,TS3,OT1,OT2,OT3,TC26 PSwitch,TC27 PSwitch
"Manometer Tree 50, 100 & 150 SP",9205,87.955406,92.7151716,94.1170546,92.885464,85.6296012,52.9225244,99.8299092,94.966106,82.322523,54.6203325,99.0692595,97.4062049,90.994189,62.3026682,104.064959,111.030689,115.622368,53.5430973,107.801153,110.9527,113.83752,51.9499454,114.053864,142.552327,41.978985,47.910169,48.5870259,42.3038284,0.130495962,0.0888731323,0.0899003606,,
"Manometer Tree 50, 100 & 150 SP",9210,87.9653501,92.7410242,94.1188989,92.8795448,85.6371738,52.8760827,99.8243347,94.9759262,82.3604989,54.5723702,99.058392,97.4066926,91.0045695,62.0819002,104.049464,111.031064,115.647452,53.5801999,107.798404,110.927083,113.867594,51.9290354,114.043503,142.561489,41.9112065,47.8458156,48.5882297,42.3725748,0.130207931,0.0886970675,0.0901102629,,
"Manometer Tree 50, 100 & 150 SP",9215,87.9586508,92.7451778,94.145461,92.8904909,85.6392401,53.0138848,99.8289688,94.982832,82.3543943,54.619992,99.0611979,97.4066121,91.0111519,61.9641922,104.061866,111.049742,115.638027,53.5331692,107.803769,110.963896,113.866693,51.9906429,114.042718,142.545598,41.8863571,47.9153288,48.6051357,42.4515277,0.130561987,0.0885732719,0.0901174156,,
"Manometer Tree 50, 100 & 150 SP",9220,87.9452099,92.7543112,94.1433086,92.8931425,85.6375784,52.8308107,99.8459617,94.9879146,82.3467377,54.5292324,99.0642569,97.4164697,91.0187347,61.9224097,104.071139,111.058089,115.651221,53.4658623,107.809626,110.953433,113.865866,52.0140249,114.044278,142.556384,41.9762232,47.9600654,48.6067704,42.4735,0.130674503,0.0884629562,0.0899190675,,
"Manometer Tree 50, 100 & 150 SP",9225,87.9693956,92.7665444,94.1254423,92.8848511,85.6513268,52.8709211,99.8402097,94.9688605,82.3572339,54.3980602,99.0751607,97.4101126,91.0057759,62.3487793,104.073559,111.047312,115.668158,53.5344149,107.810535,110.955983,113.866874,51.8845044,114.058461,142.562004,41.8354317,47.9689847,48.50163,42.3626726,0.130258,0.0880167419,0.09052319,,
"Manometer Tree 50, 100 & 150 SP",9230,87.9584588,92.7839048,94.1595041,92.9164483,85.6561093,52.923781,99.845203,94.9849943,82.3723947,54.4707059,99.0700346,97.4188354,91.0237336,62.2790902,104.070006,111.070351,115.666713,53.587015,107.823212,110.9555,113.878622,51.9590492,114.052004,142.554769,41.7296215,47.9648285,48.5113206,42.4061899,0.13024562,0.0883127509,0.0905622544,,
"Manometer Tree 50, 100 & 150 SP",9235,87.964596,92.8011983,94.178008,92.9219609,85.6884785,52.8723253,99.8530673,94.9990807,82.3926048,54.5021319,99.0685075,97.4260005,91.0325399,62.5686704,104.083733,111.073257,115.665461,53.462225,107.814642,110.970044,113.88723,51.9736749,114.059472,142.554294,42.1404123,47.9179594,48.4631995,42.4163315,0.130305867,0.0884640566,0.090411774,,
"Manometer Tree 50, 100 & 150 SP",9240,87.9577745,92.8095393,94.1670294,92.9079413,85.686187,52.9902762,99.8299713,95.0038315,82.3794978,54.6724842,99.0790768,97.430634,91.0442107,62.6005031,104.078193,111.076817,115.690197,53.5316301,107.819536,110.97216,113.891822,52.001905,114.057644,142.563293,42.2085693,47.9514854,48.4511946,42.3987596,0.130232965,0.0883919801,0.090191968,,
"Manometer Tree 50, 100 & 150 SP",9245,87.9458502,92.7978452,94.1746875,92.9229466,85.6806492,52.9333016,99.842444,94.9934126,82.3911215,54.6395908,99.0623728,97.4307906,91.0497955,62.3807488,104.092649,111.100897,115.69164,53.4738007,107.821662,110.966282,113.889868,51.8817251,114.035389,142.552732,42.1532027,47.9617505,48.4649652,42.4525202,0.130582344,0.087767225,0.0902860527,,
"Manometer Tree 50, 100 & 150 SP",9250,87.9696041,92.8264362,94.1903657,92.9406251,85.7074168,53.0305429,99.8616166,95.0139555,82.4022594,54.5775706,99.0790655,97.4432156,91.0717521,62.4534976,104.096308,111.098774,115.706722,53.5624462,107.853782,110.98591,113.902707,51.9609383,114.056716,142.546387,42.0000804,48.0309646,48.5282925,42.5979524,0.130209307,0.0890706551,0.0903630811,,
"Manometer Tree 50, 100 & 150 SP",9255,87.9602163,92.8400692,94.2001265,92.9313078,85.7133419,53.0465447,99.851851,95.011985,82.4158134,54.5977521,99.0767247,97.456534,91.065617,62.3939676,104.089883,111.101344,115.707068,53.575083,107.853282,110.987929,113.911007,51.9243733,114.056857,142.548195,41.9121028,48.075113,48.5725058,42.6172225,0.130348233,0.0885919788,0.0900893552,,
"Manometer Tree 50, 100 & 150 SP",9260,87.97564,92.8512942,94.2030059,92.9420135,85.7452878,53.1652249,99.8681473,95.0226795,82.4357279,54.66155,99.0862157,97.4539644,91.0824671,62.4611714,104.09007,111.111715,115.716233,53.4985509,107.845446,110.98803,113.915806,51.9820601,114.053215,142.548208,42.0017368,48.0516047,48.5875198,42.6509106,0.13049046,0.0886536014,0.0904978807,,
